,precision,recall,f1-score,support
0,0.7164179104477612,0.6808510638297872,0.6981818181818181,141.0
1,0.7580645161290323,0.7877094972067039,0.7726027397260274,179.0
accuracy,0.740625,0.740625,0.740625,0.740625
macro avg,0.7372412132883968,0.7342802805182456,0.7353922789539228,320.0
weighted avg,0.7397139805007221,0.740625,0.7398110211706103,320.0
