,precision,recall,f1-score,support
0,0.7602739726027398,0.7872340425531915,0.7735191637630662,141.0
1,0.8275862068965517,0.8044692737430168,0.8158640226628896,179.0
accuracy,0.796875,0.796875,0.796875,0.796875
macro avg,0.7939300897496457,0.7958516581481041,0.7946915932129779,320.0
weighted avg,0.7979267536608409,0.796875,0.7972058192101549,320.0
