,precision,recall,f1-score,support
0,0.6838235294117647,0.7560975609756098,0.7181467181467182,123.0
1,0.8125,0.7514450867052023,0.7807807807807807,173.0
accuracy,0.7533783783783784,0.7533783783783784,0.7533783783783784,0.7533783783783784
macro avg,0.7481617647058824,0.753771323840406,0.7494637494637495,296.0
weighted avg,0.7590297098569158,0.7533783783783784,0.7547537885375722,296.0
