,precision,precision_CV,recall,recall_CV,f1-score,f1-score_CV,accuracy,accuracy_CV
LR,69.89999999999999,68.4,75.6,75.6,72.7,71.8,76.4,75.3
DTC,65.0,61.7,75.6,77.2,69.89999999999999,68.60000000000001,73.0,70.6
RFC,77.0,74.6,84.6,86.2,80.60000000000001,80.0,83.1,82.1
SVC,68.5,75.4,79.7,74.8,73.7,75.1,76.4,79.4
KNC,69.8,75.6,73.2,80.5,71.39999999999999,78.0,75.7,81.10000000000001
GNB,66.4,66.4,78.9,78.9,72.1,72.1,74.7,74.7
