,precision,recall,f1-score,support
0,0.7540983606557377,0.7479674796747967,0.7510204081632651,123.0
1,0.8218390804597702,0.8265895953757225,0.824207492795389,173.0
accuracy,0.793918918918919,0.793918918918919,0.793918918918919,0.793918918918919
macro avg,0.7879687205577539,0.7872785375252596,0.787613950479327,296.0
weighted avg,0.7936900651357972,0.793918918918919,0.7937952920867699,296.0
