,precision,recall,f1-score,support
0,0.7050359712230215,0.6950354609929078,0.7,141.0
1,0.7624309392265194,0.770949720670391,0.7666666666666666,179.0
accuracy,0.7375,0.7375,0.7375,0.7375
macro avg,0.7337334552247705,0.7329925908316495,0.7333333333333333,320.0
weighted avg,0.737141281449978,0.7375,0.7372916666666666,320.0
