,precision,recall,f1-score,support
0,0.6753246753246753,0.7375886524822695,0.7050847457627119,141.0
1,0.7771084337349398,0.7206703910614525,0.7478260869565216,179.0
accuracy,0.728125,0.728125,0.728125,0.728125
macro avg,0.7262165545298076,0.729129521771861,0.7264554163596167,320.0
weighted avg,0.7322599651854169,0.728125,0.7289931834929992,320.0
