,precision,recall,f1-score,support
0,0.6992481203007519,0.7560975609756098,0.7265625000000001,123.0
1,0.8159509202453987,0.7687861271676301,0.7916666666666666,173.0
accuracy,0.7635135135135135,0.7635135135135135,0.7635135135135135,0.7635135135135135
macro avg,0.7575995202730753,0.7624418440716199,0.7591145833333334,296.0
weighted avg,0.7674561756738056,0.7635135135135135,0.7646132460585585,296.0
