,precision,recall,f1-score,support
0,0.6906474820143885,0.7804878048780488,0.7328244274809161,123.0
1,0.8280254777070064,0.7514450867052023,0.7878787878787878,173.0
accuracy,0.7635135135135135,0.7635135135135135,0.7635135135135135,0.7635135135135135
macro avg,0.7593364798606974,0.7659664457916255,0.760351607679852,296.0
weighted avg,0.7709393511185199,0.7635135135135135,0.7650014691999425,296.0
