,precision,precision_CV,recall,recall_CV,f1-score,f1-score_CV,accuracy,accuracy_CV
LR,69.89999999999999,69.89999999999999,75.6,75.6,72.7,72.7,76.4,76.4
DTC,65.0,66.2,75.6,78.0,69.89999999999999,71.6,73.0,74.3
RFC,77.0,74.5,84.6,85.39999999999999,80.60000000000001,79.5,83.1,81.8
SVC,68.5,75.2,79.7,74.0,73.7,74.6,76.4,79.10000000000001
KNC,69.8,69.6,73.2,70.7,71.39999999999999,70.19999999999999,75.7,75.0
GNB,66.4,66.4,78.9,82.1,72.1,73.5,74.7,75.3
NN,69.1,69.1,78.0,78.0,73.3,73.3,76.4,76.4
