,precision,recall,f1-score,support
0,0.6644736842105263,0.8211382113821138,0.7345454545454546,123.0
1,0.8472222222222222,0.7052023121387283,0.7697160883280758,173.0
accuracy,0.7533783783783784,0.7533783783783784,0.7533783783783784,0.7533783783783784
macro avg,0.7558479532163742,0.763170261760421,0.7521307714367652,296.0
weighted avg,0.7712827959538485,0.7533783783783784,0.755101264154892,296.0
