,precision,recall,f1-score,support
0,0.696,0.7073170731707317,0.7016129032258064,123.0
1,0.7894736842105263,0.7803468208092486,0.7848837209302325,173.0
accuracy,0.75,0.75,0.75,0.75
macro avg,0.7427368421052631,0.7438319469899901,0.7432483120780194,296.0
weighted avg,0.7506315789473684,0.75,0.7502813203300825,296.0
