,precision,recall,f1-score,support
0,0.7520661157024794,0.7398373983739838,0.7459016393442623,123.0
1,0.8171428571428572,0.8265895953757225,0.8218390804597702,173.0
accuracy,0.7905405405405406,0.7905405405405406,0.7905405405405406,0.7905405405405406
macro avg,0.7846044864226682,0.7832134968748532,0.7838703599020163,296.0
weighted avg,0.7901008328281055,0.7905405405405406,0.7902839951313665,296.0
