,precision,recall,f1-score,accuracy
LR,69.89999999999999,75.6,72.7,76.4
DTC,65.0,75.6,69.89999999999999,73.0
RFC,77.0,84.6,80.60000000000001,83.1
SVC,68.5,79.7,73.7,76.4
KNC,69.8,73.2,71.39999999999999,75.7
GNB,66.4,78.9,72.1,74.7
NN,69.1,78.0,73.3,76.4
