,precision,recall,f1-score,accuracy
LR,69.89999999999999,75.6,72.7,76.4
DTC,66.2,78.0,71.6,74.3
RFC,74.5,85.39999999999999,79.5,81.8
SVC,75.2,74.0,74.6,79.10000000000001
KNC,69.6,70.7,70.19999999999999,75.0
GNB,66.4,82.1,73.5,75.3
